symbol,total,genetic_association,somatic_mutation,known_drug,affected_pathway,rna_expression,literature,animal_model,gwas_catalog,eva,eva_somatic,uniprot,uniprot_literature
HTR2A,2028.0,2.0,0.0,820.0,0.0,20.0,1181.0,5.0,2.0,0.0,0.0,0.0,0.0
HTR2C,726.0,0.0,0.0,358.0,0.0,17.0,339.0,12.0,0.0,0.0,0.0,0.0,0.0
HTR1A,1317.0,2.0,0.0,313.0,0.0,1.0,983.0,18.0,2.0,0.0,0.0,0.0,0.0
HTR1B,482.0,0.0,0.0,68.0,0.0,0.0,380.0,34.0,0.0,0.0,0.0,0.0,0.0
HTR1D,206.0,0.0,0.0,73.0,0.0,1.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
MTNR1B,45.0,3.0,0.0,29.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0
MTNR1A,39.0,0.0,0.0,29.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR1F,40.0,1.0,0.0,13.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0
HRH1,63.0,0.0,0.0,17.0,0.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
HCRTR2,34.0,0.0,0.0,12.0,0.0,1.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0
MC2R,14.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
GRM1,215.0,2.0,0.0,0.0,0.0,16.0,155.0,42.0,0.0,0.0,0.0,0.0,2.0
GRM3,145.0,1.0,0.0,8.0,0.0,19.0,116.0,1.0,1.0,0.0,0.0,0.0,0.0
HCRTR1,24.0,0.0,0.0,12.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR4,82.0,0.0,0.0,4.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
HRH3,172.0,0.0,0.0,8.0,0.0,3.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR6,149.0,0.0,0.0,11.0,0.0,1.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0
