DB	ID	Symbol	Qualifier	GO ID	GO Name	Aspect	Evidence	Reference	With	Taxon	Date	Source	Splice
ENSEMBL_GeneID	ENSG00000183840	GPR39	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000183840	GPR39	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000180264	ADGRD2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000832	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000233412	OR5H15	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000233412	OR5H15	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000171505	OR1N1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000171505	OR1N1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000229412	OR10C1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000229412	OR10C1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000181767	OR8H2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000181767	OR8H2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000171501	OR1N2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000171501	OR1N2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000277399	GPR179	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR017978	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000196383	OR4Q2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000196383	OR4Q2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000176748	OR52Z1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000176748	OR52Z1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000279408	LOC105369274	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000279408	LOC105369274	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000278232	CRHR1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000832|InterPro:IPR001879|InterPro:IPR003051|InterPro:IPR003052|InterPro:IPR017983	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000278232	CRHR1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000101180	HRH3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000101180	HRH3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000101180	HRH3	-	GO:0004969	histamine receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR003980	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000144891	AGTR1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000144891	AGTR1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000144891	AGTR1	-	GO:0004945	angiotensin type II receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000190|InterPro:IPR000248	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000165409	TSHR	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000165409	TSHR	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000165409	TSHR	-	GO:0004996	thyroid-stimulating hormone receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR002274	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000165409	TSHR	-	GO:0004996	thyroid-stimulating hormone receptor activity	Function	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000021346	9606	20160813	Ensembl	-
ENSEMBL_GeneID	ENSG00000165409	TSHR	-	GO:0016500	protein-hormone receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR002131	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000173679	OR1L1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000173679	OR1L1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000198211	-	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000203757	OR6K3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000203757	OR6K3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000080293	SCTR	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000832|InterPro:IPR001879|InterPro:IPR002144|InterPro:IPR017983	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000080293	SCTR	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
